summary_json,n,errors,empty_input,output_null,nan_out,inf_out,finite_out
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/pow_edge_cases/runs/op_log/summary.json,4,0,0,0,2,1,1
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/pow_edge_cases/runs/op_pow/summary.json,4,0,0,0,0,0,4
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/pow_edge_cases/runs/op_sigmoid/summary.json,4,0,0,0,0,0,4
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/sigmoid_extremes/runs/cnn_bn/summary.json,4,0,0,0,0,0,4
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/sigmoid_extremes/runs/cosine_similarity/summary.json,4,0,0,0,0,0,4
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/sigmoid_extremes/runs/lstm_small/summary.json,4,0,0,0,0,0,4
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/sigmoid_extremes/runs/op_div/summary.json,4,0,0,0,0,0,4
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/sigmoid_extremes/runs/op_exp/summary.json,4,0,0,0,0,2,2
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/sigmoid_extremes/runs/op_log/summary.json,4,0,0,0,2,0,2
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/sigmoid_extremes/runs/op_pow/summary.json,4,0,0,0,0,0,4
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/targeted/sigmoid_extremes/runs/op_sigmoid/summary.json,4,0,0,0,0,0,4
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/top20/runs/cnn_bn_reshaped/summary.json,55,0,25,0,30,0,25
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/top20/runs/cosine_similarity_reshaped/summary.json,55,0,25,0,30,0,25
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/top20/runs/div_log_exp_reshaped/summary.json,55,0,0,0,19,11,25
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/top20/runs/layernorm16_reshaped/summary.json,55,55,25,55,0,0,0
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/top20/runs/numpy/summary.json,81,0,49,0,32,0,49
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/top20/runs/op_div_reshaped/summary.json,55,0,25,0,30,0,25
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/top20/runs/op_exp_reshaped/summary.json,55,0,25,0,19,11,25
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/top20/runs/op_log_reshaped/summary.json,55,0,25,0,28,2,25
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/top20/runs/op_pow_reshaped/summary.json,55,0,25,0,19,11,25
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/top20/runs/op_sigmoid_reshaped/summary.json,55,0,25,0,19,0,36
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/top20/runs/scaled_dotprod_attention_reshaped/summary.json,55,0,0,0,30,0,25
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/top20/runs/small_classifier/summary.json,81,81,49,81,0,0,0
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/top20/runs/small_classifier_reshaped/summary.json,55,0,0,0,30,0,25
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/top20/runs/small_layernorm/summary.json,81,81,49,81,0,0,0
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/top20/runs/small_layernorm_reshaped/summary.json,55,0,0,0,30,0,25
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/top20/runs/softmax_scorer_reshaped/summary.json,55,0,0,0,30,0,25
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/top20/runs/tiny_attention/summary.json,81,81,49,81,0,0,0
/Users/xieyushan/Documents/code/Numerical_instabilities/results/reproducers/top20/runs/tiny_attention_reshaped/summary.json,55,0,0,0,30,0,25
